nid,lat,lng,TrickSter,hex_index,Presence,Annu_Mean_Temp,Annu_Prec
2386,68.45638,-145.65821,raven,820d77fffffffff,TRUE,-10.93060303,114
2376,60,-132,raven,821387fffffffff,TRUE,-4.85774231,347
2400,60.5,-144,raven,820c6ffffffffff,TRUE,-3.501413981,1751
2348,51,142,raven,8214cffffffffff,TRUE,-1.556248983,642
2367,60.2,-148,raven,820c47fffffffff,TRUE,4.734954834,1022
2473,46,-120.5,raven,82288ffffffffff,TRUE,11.75959778,289
2334,62,132.44,raven,82154ffffffffff,TRUE,-11.36753845,319
2394,69.5,-84,raven,820fa7fffffffff,TRUE,-14.06682332,220
2407,51.8,-127,raven,82129ffffffffff,TRUE,8.168497721,2545
2360,64.5,170,raven,821767fffffffff,TRUE,-8.537022909,344
2388,65.78996,-165.64845,raven,820c37fffffffff,TRUE,,
2377,57.5,-129.5,raven,8212a7fffffffff,TRUE,-1.310414632,687
2079,-9,120,raven,82951ffffffffff,FALSE,,
2106,17,121,raven,82696ffffffffff,FALSE,22.36941528,2865
2126,13,104,raven,826587fffffffff,FALSE,27.72185262,1341
2130,19.13001,105.65429,raven,824147fffffffff,FALSE,,
3938,45.6,-122,skunk,8228f7fffffffff,TRUE,11.43285624,1112
2407,51.8,-127,skunk,82129ffffffffff,FALSE,8.168497721,2545
2464,52,-120,skunk,8212f7fffffffff,TRUE,0.6512146,865
2413,52.5,-95,skunk,822727fffffffff,FALSE,-1.689127604,556
2472,47.11975,-123.53846,skunk,8228c7fffffffff,TRUE,,
2414,48,-89,skunk,822777fffffffff,TRUE,2.940292358,666
2476,47.2,-124,skunk,8228c7fffffffff,TRUE,,
2417,47,-77,skunk,822b87fffffffff,TRUE,2.934371948,950
2488,46.96637,-123.90088,skunk,8228c7fffffffff,TRUE,,
2426,45.5,-88.5,skunk,822747fffffffff,TRUE,6.897145589,694
2429,40,-87.5,skunk,822667fffffffff,TRUE,10.20860291,931
2457,54,-109,skunk,82125ffffffffff,TRUE,1.162353516,398
2447,42,-96.3,mink,82260ffffffffff,TRUE,10.42920431,860
2404,51.7,-128,mink,82129ffffffffff,TRUE,8.168497721,2545
2468,50,-125,mink,8228dffffffffff,TRUE,9.138112386,1037
2405,51,-127.3,mink,82129ffffffffff,TRUE,8.168497721,2545
2469,49.24446,-123.10225,mink,8228dffffffffff,TRUE,9.138112386,1037
2407,51.8,-127,mink,82129ffffffffff,TRUE,8.168497721,2545
2414,48,-89,mink,822777fffffffff,TRUE,2.940292358,666
2426,45.5,-88.5,mink,822747fffffffff,TRUE,6.897145589,694
2467,48,-122,mink,8228d7fffffffff,TRUE,5.364919027,1867
104603,53.7,7.2,rabbit,821f37fffffffff,TRUE,,
104585,21.17331,92.59766,rabbit,823cdffffffffff,FALSE,20.94112651,2262
104496,26.5,89.2,rabbit,823ce7fffffffff,TRUE,24.06670125,2049
104341,53,32,rabbit,8211b7fffffffff,TRUE,5.714640299,600
104327,49.6,34.47,rabbit,821e6ffffffffff,TRUE,7.671473185,510
104275,11.9,18.3,rabbit,826ba7fffffffff,FALSE,28.23385111,812
104268,35.8,69.6,rabbit,822097fffffffff,TRUE,12.21237183,478
104251,38,114,rabbit,823197fffffffff,FALSE,9.236272176,464
104242,37,102,rabbit,82248ffffffffff,TRUE,-2.197769165,454
104188,32,113.1543,rabbit,8240a7fffffffff,TRUE,16.53612773,1049
104161,31.5,120,rabbit,82309ffffffffff,TRUE,15.65823364,926
104136,31,106,rabbit,8240f7fffffffff,TRUE,16.45679728,1056
104128,43.54218,124.85742,rabbit,82310ffffffffff,FALSE,7.082646688,495
104060,42.29356,-7.43555,rabbit,823927fffffffff,TRUE,11.45264181,1536
104031,15.2,-16.2,rabbit,825417fffffffff,TRUE,25.68711853,153
103979,35.85,102.48,rabbit,8240dffffffffff,FALSE,-0.100316366,624
103913,34.27688,135.54395,rabbit,822e67fffffffff,TRUE,15.50135295,1814
103702,40,108,rabbit,8224effffffffff,TRUE,6.573608398,213
4036,10.5,-5.5,rabbit,82544ffffffffff,TRUE,26.76431274,1162
4003,26,101,rabbit,824047fffffffff,TRUE,14.75690206,823
3990,20,86,rabbit,823c8ffffffffff,FALSE,,
3938,45.6,-122,rabbit,8228f7fffffffff,TRUE,11.43285624,1112
3925,-17.5316,26.07508,rabbit,829757fffffffff,TRUE,22.04752096,504
2710,-8,-72.5,rabbit,828b4ffffffffff,TRUE,24.74695333,1730
2510,39.5,-122.5,rabbit,822837fffffffff,TRUE,15.14108785,436
2598,16.5,-89.8,rabbit,82452ffffffffff,TRUE,25.16451009,1440
2498,32.8,-91.2,rabbit,82445ffffffffff,TRUE,16.86943563,1310
2579,14.5,-91.7,rabbit,826d2ffffffffff,TRUE,12.74401855,1321
2437,30.5,-81.5,rabbit,8244f7fffffffff,TRUE,20.30073039,1220
2543,36,-108,rabbit,8248dffffffffff,TRUE,10.53241475,377
2619,12,-71.62647,rabbit,826757fffffffff,TRUE,,
2500,32,-87,rabbit,8244effffffffff,TRUE,16.97395833,1318
2581,20,-97,rabbit,824997fffffffff,TRUE,13.96995036,752
2446,42.5,-98,rabbit,822607fffffffff,TRUE,7.772496541,592
2544,36.5,-104,rabbit,8226d7fffffffff,TRUE,14.04749552,436
2623,6,-69,rabbit,826677fffffffff,TRUE,27.19184875,1901
2501,31.5,-85,rabbit,8244e7fffffffff,TRUE,19.5292511,1415
2593,16.5,-92.6,rabbit,826d27fffffffff,TRUE,23.48308309,3462
2448,41.5,-94,rabbit,82260ffffffffff,TRUE,10.42920431,860
2551,35.5,-107,rabbit,8248dffffffffff,TRUE,10.53241475,377
2632,9,-61.5,rabbit,825f5ffffffffff,FALSE,26.16692098,1897
2502,33,-86,rabbit,8244effffffffff,TRUE,16.97395833,1318
2594,17.8,-92.7,rabbit,826d27fffffffff,TRUE,23.48308309,3462
2574,16,-92,rabbit,826d2ffffffffff,TRUE,12.74401855,1321
2691,-7,-79.8,rabbit,828f57fffffffff,TRUE,22.09376017,147
2504,36,-79.5,rabbit,822a8ffffffffff,TRUE,13.41976929,1011
2595,15.2,-89,rabbit,824527fffffffff,TRUE,22.42124939,1547
2577,15.5,-92.5,rabbit,826d2ffffffffff,TRUE,12.74401855,1321
2698,-17.25693,-68.64844,rabbit,82b327fffffffff,TRUE,9.52696228,755
2505,35,-83.5,rabbit,8244cffffffffff,TRUE,14.63942973,1288
2597,17.2,-91.5,rabbit,826d27fffffffff,TRUE,23.48308309,3462
2497,31.4,-91.4,rabbit,824447fffffffff,TRUE,19.41320801,1427
2578,15,-91,rabbit,826d2ffffffffff,TRUE,12.74401855,1321
2313,68.06576,70.86719,rabbit,820b77fffffffff,FALSE,-7.132400513,371
2358,65.49,151.07,rabbit,82048ffffffffff,FALSE,-12.06045532,216
2343,36,140,rabbit,822f5ffffffffff,TRUE,,
2315,44.08057,96.5332,rabbit,82258ffffffffff,FALSE,5.456899007,71
2410,46.5,-67.5,rabbit,822b17fffffffff,TRUE,1.999272664,1015
2352,53,141.5,rabbit,8214effffffffff,FALSE,-2.006673177,581
2316,45.62102,108.33984,rabbit,822477fffffffff,FALSE,0.391230265,176
2412,44.5,-70.5,rabbit,822baffffffffff,TRUE,4.232162476,1097
2318,35.43165,103.83721,rabbit,8224d7fffffffff,TRUE,6.081242879,239
2186,19,103,rabbit,82414ffffffffff,FALSE,19.63970439,1351
2414,48,-89,rabbit,822777fffffffff,TRUE,2.940292358,666
2457,54,-109,rabbit,82125ffffffffff,TRUE,1.162353516,398
2319,37.2,100.2,rabbit,82248ffffffffff,TRUE,-2.197769165,454
2416,44,-81,rabbit,82276ffffffffff,TRUE,7.011586507,783
2464,52,-120,rabbit,8212f7fffffffff,TRUE,0.6512146,865
2321,51,94,rabbit,822507fffffffff,FALSE,-1.962498983,288
2195,27,102,rabbit,824057fffffffff,FALSE,9.241032918,907
2427,42.7,-84,rabbit,82274ffffffffff,TRUE,8.45149231,850
2310,62.71935,63.64844,rabbit,82105ffffffffff,TRUE,-2.635782878,482
2324,53.5,90,rabbit,820b97fffffffff,TRUE,1.186121623,537
2198,37.72244,127.06055,rabbit,8230e7fffffffff,TRUE,,
2433,44,-89,rabbit,82275ffffffffff,TRUE,7.449244181,815
2276,41.95,47.8,rabbit,822c0ffffffffff,TRUE,13.93537394,474
1883,33.26013,37.07031,rabbit,822d87fffffffff,FALSE,17.00561015,79
2127,23,99.5,rabbit,82406ffffffffff,FALSE,20.7633311,1370
2163,30.16771,72.08789,rabbit,824247fffffffff,FALSE,25.64992778,217
2794,30.54691,88.83594,rabbit,823c2ffffffffff,FALSE,0.164459229,260
2118,22.5,105.5,rabbit,82415ffffffffff,TRUE,20.56021118,1694
2298,41.5,75,rabbit,8220f7fffffffff,TRUE,-5.663070679,295
2154,21.33032,80.50122,rabbit,823cb7fffffffff,TRUE,26.52101135,1277
2277,42.2,47.6,rabbit,822c0ffffffffff,TRUE,13.93537394,474
2128,22,97,rabbit,82649ffffffffff,FALSE,21.19233704,1468
2171,25.27818,80.19727,rabbit,823d8ffffffffff,TRUE,25.66171265,907
2795,35.28575,97.12109,rabbit,82249ffffffffff,TRUE,-4.566421509,336
2119,15,101,rabbit,8264a7fffffffff,TRUE,28.07384745,970
2299,41,86,rabbit,8220cffffffffff,FALSE,11.18655904,81
2156,25.56227,83.08594,rabbit,823c17fffffffff,TRUE,25.48189799,1054
2286,42,44,rabbit,822c2ffffffffff,TRUE,1.809463501,1031
2796,30,97,rabbit,823c4ffffffffff,FALSE,1.617039998,574
2130,19.13001,105.65429,rabbit,824147fffffffff,FALSE,,
2172,31,77,rabbit,823d17fffffffff,TRUE,18.30400085,1393
2261,37.8228,67.41211,rabbit,8220b7fffffffff,TRUE,17.26652018,147
2121,13,108.5,rabbit,826937fffffffff,FALSE,,
2301,37,107,rabbit,8224dffffffffff,TRUE,8.372619629,444
2292,39.26628,33.53027,rabbit,822d17fffffffff,TRUE,10.39360555,324
2139,21.4,86.1,rabbit,823c8ffffffffff,FALSE,,
2263,33,67,rabbit,824267fffffffff,FALSE,10.46853638,204
2122,15.75419,107.66162,rabbit,824167fffffffff,TRUE,,
2294,35,46,rabbit,822caffffffffff,TRUE,11.51014201,479
2093,2.3,98.9,rabbit,82652ffffffffff,FALSE,26.42102559,2870
2147,24.22292,92.44336,rabbit,823cc7fffffffff,TRUE,22.08089701,2801
2194,31.5,103,rabbit,8240c7fffffffff,TRUE,1.941797892,755
2268,44.40953,40.78613,rabbit,822d57fffffffff,TRUE,8.333709717,980
2124,16.50141,106.26416,rabbit,82416ffffffffff,TRUE,25.59199015,2126
2296,43,60,rabbit,8221a7fffffffff,FALSE,9.764511108,112
2116,19.90909,95.26611,rabbit,823cdffffffffff,FALSE,20.94112651,2262
2148,23,93,rabbit,823cc7fffffffff,TRUE,22.08089701,2801
2274,41.4,47.6,rabbit,822c0ffffffffff,TRUE,13.93537394,474
2126,13,104,rabbit,826587fffffffff,TRUE,27.72185262,1341
2117,18,97,rabbit,826487fffffffff,TRUE,23.23756917,1013
2297,48,69,rabbit,822027fffffffff,FALSE,3.978500366,184
2153,20.8,84,rabbit,823c87fffffffff,FALSE,27.20499674,1438
2238,58.7,25,rabbit,82089ffffffffff,TRUE,,
1927,-4.5,35.2,rabbit,829697fffffffff,TRUE,22.13474528,577
1914,-3,39.9,rabbit,827b5ffffffffff,TRUE,,
2203,39.3,-4.5,rabbit,82390ffffffffff,TRUE,14.71064758,377
2241,61.41354,23.96777,rabbit,82088ffffffffff,TRUE,4.464309692,573
2000,21,5,rabbit,82590ffffffffff,FALSE,26.94619242,50
1916,3,29,rabbit,826ae7fffffffff,TRUE,24.32119242,1511
2204,39,-8.5,rabbit,823907fffffffff,TRUE,16.15564473,508
2016,-3.6,34.8,rabbit,829697fffffffff,TRUE,22.13474528,577
1917,9.5,14,rabbit,8258effffffffff,FALSE,27.58681234,980
2215,46.94026,2.9248,rabbit,821fb7fffffffff,TRUE,10.59004211,578
2017,-5.3,35.5,rabbit,829697fffffffff,TRUE,22.13474528,577
2304,54,57,rabbit,8210d7fffffffff,TRUE,2.156850179,562
1918,4.5,25,rabbit,826a1ffffffffff,FALSE,24.32637024,1604
2225,42.5,25,rabbit,821ec7fffffffff,TRUE,8.217229207,591
2309,63,55,rabbit,821057fffffffff,TRUE,-1.094640096,607
2232,41.30222,19.62646,rabbit,821ed7fffffffff,TRUE,10.38306681,935
1925,1,35,rabbit,827a4ffffffffff,TRUE,17.97651164,1082
1981,8.83297,17.56934,rabbit,826b87fffffffff,TRUE,25.85406494,1142
2236,56.50132,23.3042,rabbit,821f67fffffffff,TRUE,,
1934,-5,40,rabbit,827b4ffffffffff,TRUE,27.36065674,953
2009,12.5,-16,rabbit,8254f7fffffffff,TRUE,26.04444377,1640
1948,-11.5,28,rabbit,82961ffffffffff,FALSE,21.66441854,988
1975,7,10,rabbit,8258c7fffffffff,FALSE,27.36126709,1350
1999,16.5,0,rabbit,8259affffffffff,TRUE,29.64389547,207
1942,-2,39,rabbit,827a67fffffffff,TRUE,24.21640523,807
1990,9.8,-13.5,rabbit,8254effffffffff,FALSE,25.68090312,2051
2790,-23,32,rabbit,829727fffffffff,TRUE,24.62497457,486
1969,5,10,rabbit,8258dffffffffff,FALSE,24.00701904,1727
1935,-3,33,rabbit,82969ffffffffff,TRUE,23.51321411,686
2010,12.5,-13.5,rabbit,8254e7fffffffff,TRUE,27.15564982,1430
1895,-12,44,rabbit,82a337fffffffff,FALSE,,
1953,-6.5,14,rabbit,8283affffffffff,FALSE,22.99421183,1121
1976,5.5,8,rabbit,8258d7fffffffff,FALSE,26.74716695,1929
1928,-12.5,37.5,rabbit,829787fffffffff,TRUE,23.87697347,779
1943,-9,37,rabbit,82979ffffffffff,FALSE,23.61166382,807
1972,2,17,rabbit,828297fffffffff,FALSE,24.05846151,1592
1991,14.4,-12.2,rabbit,82540ffffffffff,TRUE,29.19714864,587
2792,8,-9,rabbit,8275a7fffffffff,TRUE,24.21368917,1641
1936,-5,33,rabbit,829687fffffffff,FALSE,22.13116964,559
1902,7.5,33.5,rabbit,826a47fffffffff,FALSE,26.20271301,1069
1961,-13.5,17.5,rabbit,82966ffffffffff,FALSE,19.42508443,766
1977,12,7,rabbit,82581ffffffffff,TRUE,25.22958374,932
2001,13,-0.5,rabbit,825987fffffffff,TRUE,28.49457804,480
1929,-18,31,rabbit,82971ffffffffff,TRUE,19.97798665,481
1944,-9,33,rabbit,8296a7fffffffff,TRUE,23.76200358,1418
1993,11.5,-4.5,rabbit,82546ffffffffff,TRUE,27.41459656,842
1937,-5,34.8,rabbit,829697fffffffff,TRUE,22.13474528,577
1903,5.5,31,rabbit,826a57fffffffff,TRUE,27.49127197,928
1962,-12.43443,22.06055,rabbit,829647fffffffff,FALSE,19.56263733,901
1978,10.3,10.8,rabbit,8258e7fffffffff,TRUE,25.77223206,936
2002,11,-4,rabbit,827537fffffffff,TRUE,27.13050334,1085
1931,-15.5,27,rabbit,82962ffffffffff,TRUE,21.01149495,640
1945,0,31.5,rabbit,826acffffffffff,TRUE,21.94429525,1812
1995,6,-8,rabbit,8275affffffffff,FALSE,25.65070089,1571
1939,-4,38,rabbit,827a67fffffffff,TRUE,24.21640523,807
1979,10.73487,13.04395,rabbit,8258effffffffff,FALSE,27.58681234,980
1906,11,35,rabbit,825297fffffffff,TRUE,25.09525045,1278
1963,-15,22.5,rabbit,829677fffffffff,TRUE,21.0357666,754
2003,10.5,-3.4,rabbit,827537fffffffff,TRUE,27.13050334,1085
1932,-15,34,rabbit,8297affffffffff,TRUE,20.99127706,860
1946,-3,29,rabbit,826adffffffffff,TRUE,20.76466878,859
1996,7,2,rabbit,825897fffffffff,TRUE,27.14660136,1018
1940,-1,37,rabbit,827a47fffffffff,TRUE,18.98298136,1955
1909,2.7,32.5,rabbit,826aeffffffffff,TRUE,23.18414815,1317
1965,-28.5,30.5,rabbit,82bcf7fffffffff,TRUE,19.70156352,889
2004,15,-4,rabbit,8259b7fffffffff,TRUE,27.1611379,450
1933,-16.7,33,rabbit,82971ffffffffff,TRUE,19.97798665,481
1947,-7,26,rabbit,8296c7fffffffff,TRUE,23.86429342,1057
1997,6,1,rabbit,825897fffffffff,TRUE,27.14660136,1018
1926,-5,37,rabbit,829697fffffffff,TRUE,22.13474528,577
1941,-7,38,rabbit,8296b7fffffffff,TRUE,22.06149801,951
1989,13,-8,rabbit,825447fffffffff,TRUE,27.64297485,897
1910,-0.2,34.6,rabbit,827a6ffffffffff,TRUE,17.5772349,806
1967,-27.5,26.5,rabbit,82bcc7fffffffff,TRUE,14.72856649,624
3938,45.6,-122,owl,8228f7fffffffff,TRUE,11.43285624,1112
2723,-11,-61,owl,828a37fffffffff,TRUE,24.78245544,1750
2724,-11,-58,owl,828b8ffffffffff,TRUE,25.61868795,1572
2553,30,-100,owl,82489ffffffffff,TRUE,18.82886759,747
2554,32.6,-116.5,owl,8229a7fffffffff,TRUE,17.8758138,278
2561,32,-113,owl,8248effffffffff,TRUE,17.7490387,444
2631,2,-64.5,owl,828acffffffffff,FALSE,25.05583191,2308
2495,33,-95,owl,8226cffffffffff,TRUE,18.37229919,939
2500,32,-87,owl,8244effffffffff,TRUE,16.97395833,1318
2391,68.5,-108,owl,8202dffffffffff,TRUE,-13.64007568,125
2393,65,-97,owl,82136ffffffffff,TRUE,-11.01987203,222
2430,44,-79,owl,822b9ffffffffff,TRUE,5.54671224,878
2431,42.7,-76,owl,822b8ffffffffff,TRUE,4.059199015,1166
2476,47.2,-124,owl,8228c7fffffffff,TRUE,,
2762,-26,-59,hawk,82a94ffffffffff,TRUE,23.12308248,900
2770,-49.76991,-70.80469,hawk,82cfa7fffffffff,TRUE,7.64100647,178
2539,34.7,-117,hawk,8229a7fffffffff,TRUE,17.8758138,278
2554,32.6,-116.5,hawk,8229a7fffffffff,TRUE,17.8758138,278
2558,33,-114.6,hawk,82485ffffffffff,TRUE,,
2561,32,-113,hawk,8248effffffffff,TRUE,17.7490387,444
2517,40.68373,-121.45581,hawk,822817fffffffff,TRUE,6.498708089,573
2392,68.5,-97,hawk,820f97fffffffff,TRUE,-13.51266479,166
2399,59,-70,hawk,820e2ffffffffff,TRUE,-6.180806478,377
2426,45.5,-88.5,hawk,822747fffffffff,TRUE,6.897145589,694
2492,43.5,-122,hawk,82281ffffffffff,TRUE,11.31764221,1092
1918,4.5,25,hawk,826a1ffffffffff,TRUE,24.32637024,1604
1945,0,31.5,hawk,826acffffffffff,TRUE,21.94429525,1812
3927,30.5,-89,opossum,824457fffffffff,TRUE,19.59674072,1480
2689,-3,-45,opossum,82800ffffffffff,TRUE,27.07448324,1764
2673,1,-69.5,opossum,82665ffffffffff,FALSE,25.81737264,3081
2690,-3,-48,opossum,828077fffffffff,TRUE,25.86387634,1697
2675,-2,-73,opossum,8266cffffffffff,TRUE,25.83249919,2644
2724,-11,-58,opossum,828b8ffffffffff,TRUE,25.61868795,1572
2682,-3.5,-57,opossum,828a87fffffffff,TRUE,26.70177205,1813
2659,-3,-77,opossum,828f77fffffffff,TRUE,24.11141968,1973
2737,-10.5,-50.5,opossum,828167fffffffff,FALSE,26.89197795,1354
2684,-4.5,-54,opossum,828a97fffffffff,TRUE,25.32937622,1451
2664,0.2,-70.4,opossum,828a4ffffffffff,TRUE,25.904363,2747
2798,-3,-62,opossum,828af7fffffffff,TRUE,26.67656962,2060
2685,-2,-53,opossum,82806ffffffffff,TRUE,26.31587219,2224
2665,0.3,-70,opossum,828a4ffffffffff,TRUE,25.904363,2747
2688,-23,-42.2,opossum,82a8a7fffffffff,TRUE,,
2666,-0.2,-69,opossum,828a5ffffffffff,TRUE,25.67558797,2930
2505,35,-83.5,opossum,8244cffffffffff,TRUE,14.63942973,1288
2647,3,-54,opossum,825f37fffffffff,TRUE,25.18824768,2021
2620,5,-69,opossum,826647fffffffff,TRUE,27.22423299,2777
2654,-2,-76,opossum,8266dffffffffff,TRUE,24.8917745,3448
2630,4.3,-64.5,opossum,82666ffffffffff,TRUE,27.22854106,2724
2631,2,-64.5,opossum,828acffffffffff,TRUE,25.05583191,2308
2633,3,-59,opossum,825f2ffffffffff,TRUE,26.42150879,1672
2634,4.5,-59.6,opossum,825f77fffffffff,TRUE,22.56918335,1985
2645,5,-59,opossum,825f77fffffffff,TRUE,22.56918335,1985
2523,36.5,-118,rat,8229affffffffff,TRUE,17.33698018,152
2531,40,-115,rat,82299ffffffffff,TRUE,6.997146606,259
2535,39,-109,rat,82269ffffffffff,TRUE,6.464701335,489
2536,37,-114,rat,822997fffffffff,TRUE,10.72418213,298
2069,9.97,139.67,rat,827357fffffffff,TRUE,,
2072,6.3,159,rat,827757fffffffff,FALSE,,
2073,9,168,rat,825b47fffffffff,FALSE,,
2049,-19.1,-169.2,rat,829baffffffffff,FALSE,,
2050,-13,178,rat,829a67fffffffff,FALSE,,
2064,-7.5,173.8,rat,827f07fffffffff,FALSE,,
1930,-20.5,-174,rat,829b07fffffffff,FALSE,,
2163,30.16771,72.08789,rat,824247fffffffff,TRUE,25.64992778,217
2164,25.0828,69.02734,rat,8242e7fffffffff,TRUE,26.6484019,196
2062,2.62701,154.81934,rat,82771ffffffffff,FALSE,,
1925,1,35,rat,827a4ffffffffff,TRUE,17.97651164,1082
1971,3,12,rat,82828ffffffffff,TRUE,23.88787333,1593
1973,-1.50276,12.04102,rat,8282affffffffff,TRUE,25.32666524,1575
104299,60.257,90.195,mouse,820b8ffffffffff,FALSE,-2.094899495,525
103817,64.95187,64.64844,mouse,82104ffffffffff,FALSE,-5.570597331,566
2531,40,-115,mouse,82299ffffffffff,TRUE,6.997146606,259
2382,62,-160,mouse,820c1ffffffffff,FALSE,-1.731750488,426
2383,62.5,-155,mouse,820c0ffffffffff,FALSE,-2.41468811,445
2310,62.71935,63.64844,mouse,82105ffffffffff,FALSE,-2.635782878,482
2313,68.06576,70.86719,mouse,820b77fffffffff,FALSE,-7.132400513,371
2329,71,83,mouse,820b5ffffffffff,TRUE,-10.10112,398
2333,63.19,87.79,mouse,820a37fffffffff,FALSE,-4.750605265,561
2081,-9,122,mouse,829427fffffffff,TRUE,26.63571676,960
2293,40.34654,48.74414,mouse,822c0ffffffffff,TRUE,13.93537394,474
2309,63,55,mouse,821057fffffffff,FALSE,-1.094640096,607
104031,15.2,-16.2,ground squirrel,825417fffffffff,TRUE,25.68711853,153
1913,6.78681,46.6875,ground squirrel,827a8ffffffffff,FALSE,27.11088053,210
1917,9.5,14,ground squirrel,8258effffffffff,TRUE,27.58681234,980
1977,12,7,ground squirrel,82581ffffffffff,TRUE,25.22958374,932
1979,10.73487,13.04395,ground squirrel,8258effffffffff,TRUE,27.58681234,980
2008,13.5,-13,ground squirrel,82540ffffffffff,TRUE,29.19714864,587
2459,50,-104.5,spider,8227a7fffffffff,TRUE,3.481414795,368
2441,44.68842,-94.08203,spider,82262ffffffffff,TRUE,7.041544596,772
2446,42.5,-98,spider,822607fffffffff,TRUE,7.772496541,592
2447,42,-96.3,spider,82260ffffffffff,TRUE,10.42920431,860
2448,41.5,-94,spider,82260ffffffffff,TRUE,10.42920431,860
1918,4.5,25,spider,826a1ffffffffff,TRUE,24.32637024,1604
1981,8.83297,17.56934,spider,826b87fffffffff,FALSE,25.85406494,1142
1910,-0.2,34.6,spider,827a6ffffffffff,TRUE,17.5772349,806
